번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소
27,016610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩
28,005830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000",500,원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 
29,000990,DB하이텍,032601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW),02-3484-2888,서울특별시 강남구  테헤란로 432 (주)동부하이텍
30,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW),0537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층
31,068790,DMS,032902,특수 목적용 기계 제조업,"23,032,487","11,516,243,500",500,원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)
32,004840,DRB동일,116409,기타 금융업,"19,480,000","9,740,000,000",500,원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 
33,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"17,500,000","8,750,000,000",500,원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층
34,155660,DSR,032402,1차 비철금속 제조업,"16,000,000","8,000,000,000",500,원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 
35,069730,DSR제강,032401,1차 철강 제조업,"14,400,000","7,200,000,000",500,원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 
36,017940,E1,074607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW),02-3441-4114,서울특별시 용산구 한강대로 92 LS용산타워
37,245620,EDGC,137001,자연과학 및 공학 연구개발업,"36,172,940","3,617,294,000",100,원(KRW),0327132140,"인천광역시 연수구 하모니로 291, 4층 &nbsp"
38,037370,EG,074607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 
39,079190,EMW,032604,통신 및 방송 장비 제조업,"31,784,197","15,892,098,500",500,원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)"
40,007700,F&F,031401,봉제의복 제조업,"15,400,000","7,700,000,000",500,원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) "
41,130500,GH신소재,031309,기타 섬유제품 제조업,"11,000,000","5,500,000,000",500,원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 
42,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000",500,원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동
43,032860,GMR 머티리얼즈,053803,"해체, 선별 및 원료 재생업","67,558,840","33,779,420,000",500,원(KRW),02-3452-8449,충청남도 아산시 인주면 인주산단로 65 
44,900290,GRT,116409,기타 금융업,"67,375,000","770,089,223",0,중국위안(CNY),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
45,078930,GS,116409,기타 금융업,"92,915,378","473,501,020,000","5,000",원(KRW),-,서울특별시 강남구 논현로 508 
46,083450,GST,032902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500",500,원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 
47,006360,GS건설,064101,건물 건설업,"79,435,797","397,178,985,000","5,000",원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울
48,001250,GS글로벌,074608,상품 종합 도매업,"82,533,764","206,334,410,000","2,500",원(KRW),02-2270-8114,서울특별시 강남구 논현로 508 GS강남타워 
49,007070,GS리테일,074701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) 
50,028150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가)
51,045890,GV,032804,전구 및 조명장치 제조업,"26,586,229","13,293,114,500",500,원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주)
52,078150,HB테크놀러지,032902,특수 목적용 기계 제조업,"78,990,426","39,495,213,000",500,원(KRW),031-332-0060,충청남도 아산시 음봉면 산동로 87 
53,012630,HDC,116409,기타 금융업,"59,741,721","298,708,605,000","5,000",원(KRW),02-2008-9114,서울특별시 강남구 영동대로 520 아이파크타워
54,039570,HDC아이콘트롤스,064203,전기 및 통신 공사업,"16,460,000","8,230,000,000",500,원(KRW),031-785-1711,경기도 성남시 분당구 정자일로213번길 5 
55,089470,HDC현대EP,032004,기타 화학제품 제조업,"31,900,000","17,200,000,000",500,원(KRW),041-350-0500,충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사
56,294870,HDC현대산업개발,064101,건물 건설업,"43,938,220","219,691,100,000","5,000",원(KRW),02-2008-9114,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 
57,036640,HRS,032002,합성고무 및 플라스틱 물질 제조업,"16,354,800","8,177,400,000",500,원(KRW),02  -780 -6156,경기도 평택시  팽성읍 추팔산단2길 7 
58,082740,HSD엔진,032901,일반 목적용 기계 제조업,"32,947,142","32,947,142,000","1,000",원(KRW),055-260-6000,경상남도 창원시 성산구 공단로 67 (신촌동)
59,299170,IBKS제10호스팩,116601,금융 지원 서비스업,"4,330,000","433,000,000",100,원(KRW),02-6915-5350,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 
60,254120,IBKS제5호스팩,116601,금융 지원 서비스업,"4,500,000","450,000,000",100,원(KRW),02-6915-5361,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩) "
61,264850,IBKS제6호스팩,116601,금융 지원 서비스업,"4,315,000","431,500,000",100,원(KRW),02-6915-5357,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동, 삼덕빌딩) "
62,276920,IBKS제7호스팩,116601,금융 지원 서비스업,"3,650,000","365,000,000",100,원(KRW),02-6915-5333,"서울특별시 영등포구 국제금융로6길 11, 9층(여의도동) &nbsp"
63,297570,IBKS제9호스팩,116601,금융 지원 서비스업,"2,760,000","276,000,000",100,원(KRW),,서울특별시 영등포구 국제금융로6길 11 삼덕빌딩 9층 
64,095340,ISC,032602,전자부품 제조업,"13,869,854","6,934,927,000",500,원(KRW),031-777-7675,"경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)"
65,099520,ITX엠투엠,032605,영상 및 음향기기 제조업,"16,466,131","8,233,065,500",500,원(KRW),02-2082-8379,서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호
66,175330,JB금융지주,116409,기타 금융업,"196,982,894","984,914,470,000","5,000",원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566 
67,950170,JTC,074701,종합 소매업,"35,005,517",0,0,일본엔(JPY),+81-92-260-8364,"6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan "
68,234080,JW생명과학,032102,의약품 제조업,"15,834,554","39,586,385,000","2,500",원(KRW),041-351-7600,충청남도 당진시 송악읍 한진1길 28 
69,067290,JW신약,032102,의약품 제조업,"41,667,166","20,833,583,000",500,원(KRW),02-840-6111,서울특별시 서초구 남부순환로 2477 
70,001060,JW중외제약,032102,의약품 제조업,"20,196,684","51,129,622,500","2,500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 
71,096760,JW홀딩스,116409,기타 금융업,"64,520,904","32,260,452,000",500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 
72,035900,JYP Ent.,105902,오디오물 출판 및 원판 녹음업,"35,393,704","17,891,557,500",500,원(KRW),02-2225-8100,"서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
73,105560,KB금융,116409,기타 금융업,"418,111,537","2,090,557,685,000","5,000",원(KRW),02-2073-7114,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)"
74,024120,KB오토시스,033003,자동차 신품 부품 제조업,"11,500,000","5,750,000,000",500,원(KRW),041-537-5345,충청남도 아산시  음봉면 아산온천로 528-24 
75,021320,KCC건설,064101,건물 건설업,"21,400,000","107,000,000,000","5,000",원(KRW),02-513-5500,서울특별시 서초구  강남대로 587 KCC 건설 
76,036670,KCI,032004,기타 화학제품 제조업,"11,270,000","5,635,000,000",500,원(KRW),031 -497 -6411,충남 서산시 대산읍 대죽리 13-7 
77,009440,KC그린홀딩스,116409,기타 금융업,"22,434,980","11,217,490,000",500,원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층 
78,112190,KC산업,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","6,627,571","3,313,785,500",500,원(KRW),031-883-8684,경기도 여주시 가남읍 가남로 465 
79,119650,KC코트렐,032901,일반 목적용 기계 제조업,"13,000,000","6,500,000,000",500,원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층 
80,044180,KD건설,064101,건물 건설업,"387,734,262","38,773,426,200",100,원(KRW),031-491-8577,경기도 안산시 단원구 광덕서로 102 406-3호
81,092220,KEC,032601,반도체 제조업,"112,451,621","56,225,810,500",500,원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5 
82,151860,KG ETS,053802,폐기물 처리업,"36,000,000","20,051,860,000",500,원(KRW),031-488-1122,경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)
83,046440,KG모빌리언스,105802,소프트웨어 개발 및 공급업,"29,906,957","14,953,478,500",500,원(KRW),(02)2192-2000,"경기도 성남시 분당구  대왕판교로 660 삼평동, 유스페이스1 에이-5층"
84,035600,KG이니시스,105802,소프트웨어 개발 및 공급업,"27,904,434","13,952,217,000",500,원(KRW),(02)3430-5913,경기도 성남시 분당구 대왕판교로 660 유스페이스1 A동 5층 
85,001390,KG케미칼,032001,기초 화학물질 제조업,"12,455,526","64,585,875,000","5,000",원(KRW),052-231-1842,울산광역시 울주군 온산읍 당월로 322 
86,060720,KH바텍,032602,전자부품 제조업,"20,350,017","10,175,008,500",500,원(KRW),054-465-0630,경상북도 구미시  1공단로10길 53-12 (주)KH바텍 
87,001940,KISCO홀딩스,116409,기타 금융업,"18,476,380","18,476,380,000","1,000",원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주) 
88,083470,KJ프리텍,032202,플라스틱제품 제조업,"24,704,729","12,352,364,500",500,원(KRW),031-230-6903,경기도 화성시  반월남길 77 (주)케이제이프리텍
89,122450,KMH,106002,텔레비전 방송업,"22,319,036","11,159,518,000",500,원(KRW),02-2647-1255,서울특별시 양천구  목동서로 201 KT정보전산센터 7층
90,052900,KMH하이텍,032202,플라스틱제품 제조업,"46,885,499","23,442,749,500",500,원(KRW),(041)539-6114,충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 
91,058400,KNN,106002,텔레비전 방송업,"132,429,720","66,214,860,000",500,원(KRW),051-850-9214,부산광역시 해운대구  센텀서로 30 케이엔엔타워 
92,114450,KPX생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000",500,원(KRW),061-688-4600,전라남도 여수시 여수산단2로 84 
93,025000,KPX케미칼,032001,기초 화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW),02-2014-4000,서울특별시 마포구  마포대로 137  KPX빌딩
94,092230,KPX홀딩스,116409,기타 금융업,"4,224,646","21,123,230,000","5,000",원(KRW),02-2014-4150,서울특별시 마포구  마포대로 137 KPX빌딩 19층
95,000040,KR모터스,033109,그외 기타 운송장비 제조업,"189,444,075","94,722,037,500",500,원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28 　
96,044450,KSS해운,085001,해상 운송업,"23,185,880","11,592,940,000",500,원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층 
97,030210,KTB투자증권,116601,금융 지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW),02-2184-2000,서울특별시 영등포구  여의대로 66 KTB빌딩
98,036030,KTH,074601,상품 중개업,"35,715,022","35,715,022,000","1,000",원(KRW),02-1588-5668,서울특별시 동작구  보라매로5길 23 삼성보라매옴니타워 
99,058850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000",500,원(KRW),042-604-5138,대전광역시 서구 갈마로 160 
100,060370,KT서브마린,064203,전기 및 통신 공사업,"21,900,000","21,900,000,000","1,000",원(KRW),(051)704-0004,부산광역시 해운대구 송정광어골로 42  
101,093050,LF,031401,봉제의복 제조업,"29,240,000","146,200,000,000","5,000",원(KRW),02-3441-8114,서울특별시 강남구 언주로 870 (신사동) 
102,003550,LG,116409,기타 금융업,"172,557,131","879,359,040,000","5,000",원(KRW),02-3773-5114,서울특별시 영등포구  여의대로 128 
103,034220,LG디스플레이,032602,전자부품 제조업,"357,815,700","1,789,078,500,000","5,000",원(KRW),02-3777-5114,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) 
104,001120,LG상사,074601,상품 중개업,"38,760,000","193,800,000,000","5,000",원(KRW),02-3773-1114,서울특별시 종로구 새문안로 58 LG광화문빌딩 
105,051900,LG생활건강,032004,기타 화학제품 제조업,"15,618,197","88,589,470,000","5,000",원(KRW),02-3773-5114,서울특별시 종로구  새문안로 58 
106,032640,LG유플러스,106102,전기 통신업,"436,611,361","2,573,969,175,000","5,000",원(KRW),02-3773-1114,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥
107,011070,LG이노텍,032602,전자부품 제조업,"23,667,107","118,335,535,000","5,000",원(KRW),02-3777-1114,서울특별시 중구 후암로 98 LG서울역빌딩 
108,066570,LG전자,032604,통신 및 방송 장비 제조업,"163,647,814","904,169,030,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 LG트윈타워
109,108670,LG하우시스,032202,플라스틱제품 제조업,"8,967,670","50,000,000,000","5,000",원(KRW),3777-1114,서울특별시 영등포구 국제금융로 10 국제금융센터(One IFC)
110,051910,LG화학,032001,기초 화학물질 제조업,"70,592,343","391,405,715,000","5,000",원(KRW),02-3777-1114,서울특별시 영등포구  여의대로 128 
111,079550,LIG넥스원,032502,무기 및 총포탄 제조업,"22,000,000","110,000,000,000","5,000",원(KRW),1644 - 2005,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주) 
112,006260,LS,116409,기타 금융업,"32,200,000","161,000,000,000","5,000",원(KRW),02-2189-9988,서울특별시 용산구 한강대로 92 LS용산타워 - 
113,000680,LS네트웍스,074608,상품 종합 도매업,"78,803,016","394,015,080,000","5,000",원(KRW),02-799-7114,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)"
114,010120,LS산전,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","30,000,000","150,000,000,000","5,000",원(KRW),02-2034-4237,경기도 안양시 동안구  엘에스로 127 LS타워
115,229640,LS전선아시아,116409,기타 금융업,"30,624,879","15,312,439,500",500,원(KRW),031-428-0288,"경기도 안양시 동안구 엘에스로 127(호계동, LS타워) 3층 "
116,023150,MH에탄올,031101,알코올음료 제조업,"7,378,526","4,596,763,000",500,원(KRW),055-231-0701,경상남도 창원시 마산회원구 내서읍 광려천남로 25 
117,065150,MP그룹,074603,음·식료품 및 담배 도매업,"80,808,407","8,080,840,700",100,원(KRW),02-596-3300,서울특별시 서초구  효령로 132 미피하우스
118,219550,MP한강,074604,생활용품 도매업,"56,831,270","5,683,127,000",100,원(KRW),02-3773-8373,서울특별시 구로구 디지털로 273 에이스트윈타워 2차 1206호
119,035420,NAVER,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","164,813,395","16,481,339,500",100,원(KRW),1588-3830,경기도 성남시 분당구  불정로 6 
120,160550,NEW,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","27,906,106","13,953,053,000",500,원(KRW),02-3490-9300,서울특별시 강남구 학동로9길 5 - 
121,053290,NE능률,105801,"서적, 잡지 및 기타 인쇄물 출판업","13,497,842","6,748,921,000",500,원(KRW),02-2014-7114,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어 비즈니스타워 10층 
122,104200,NHN벅스,105802,소프트웨어 개발 및 공급업,"14,827,550","7,413,775,000",500,원(KRW),031-8038-4186,경기도 성남시 분당구 대왕판교로645번길 16 플레이뮤지엄
123,181710,NHN엔터테인먼트,105802,소프트웨어 개발 및 공급업,"19,565,025","9,782,512,500",500,원(KRW),1544-6859,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄
124,060250,NHN한국사이버결제,106309,기타 정보 서비스업,"21,917,493","10,958,746,500",500,원(KRW),(02)2108-1000,서울특별시 구로구 디지털로26길 72 - 
125,005940,NH투자증권,116601,금융 지원 서비스업,"281,408,887","1,531,275,030,000","5,000",원(KRW),02-768-7000,서울특별시 영등포구 여의대로 60 우리투자증권빌딩
126,034310,NICE,137105,회사 본부 및 경영 컨설팅 서비스업,"37,882,300","18,941,150,000",500,원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥
127,030190,NICE평가정보,106309,기타 정보 서비스업,"60,714,820","30,357,410,000",500,원(KRW),02-2122-4000,서울특별시 영등포구 은행로 17 NICE 그룹1사옥 
128,008260,NI스틸,032401,1차 철강 제조업,"28,600,117","14,300,058,500",500,원(KRW),02-758-6789,서울특별시 동작구 동작대로 35 - 
129,010060,OCI,032001,기초 화학물질 제조업,"23,849,371","127,246,855,000","5,000",원(KRW),02-727-9500,서울특별시 중구  소공로 94 OCI 빌딩
130,024940,PN풍년,032509,기타 금속 가공제품 제조업,"10,000,000","5,000,000,000",500,원(KRW),02-2008-1030,경기도 안산시 단원구 별망로 620 
131,218410,RFHIC,032604,통신 및 방송 장비 제조업,"22,477,756","11,238,878,000",500,원(KRW),031-8069-3016,경기도 안양시 동안구 부림로 170 41-14(관양동)
132,091340,S&K폴리텍,032602,전자부품 제조업,"11,703,721","5,851,860,500",500,원(KRW),031-432-8061,경기도 안산시 단원구 시화벤처로 515 성곡동 808-6번지
133,100840,S&TC,032901,일반 목적용 기계 제조업,"7,297,150","3,648,575,000",500,원(KRW),055-212-6500,경상남도 창원시 성산구  완암로 12 
134,064960,S&T모티브,033003,자동차 신품 부품 제조업,"14,623,136","73,115,680,000","5,000",원(KRW),051-509-2114,부산광역시 기장군  철마면 여락송정로 363 
135,003570,S&T중공업,033003,자동차 신품 부품 제조업,"32,473,439","83,683,597,500","2,500",원(KRW),055-280-5000,경상남도 창원시 성산구  남면로 599 
136,036530,S&T홀딩스,116409,기타 금융업,"16,303,886","8,351,943,000",500,원(KRW),02-3279-5010,서울특별시 금천구  가산디지털1로 134 
137,010950,S-Oil,031902,석유 정제품 제조업,"112,582,792","291,511,797,500","2,500",원(KRW),02-3772-5151,서울특별시 마포구  백범로 192 
138,019550,SBI인베스트먼트,116402,신탁업 및 집합투자업,"162,066,575","83,533,287,500",500,원(KRW),02-2139-9200,서울특별시 강남구 테헤란로 509엔씨타워1 14층 
139,950110,SBI핀테크솔루션즈,105802,소프트웨어 개발 및 공급업,"24,656,540",0,0,일본엔(JPY),81-3-3498-5011,"일본 동경 시부야구 시부야 2-1-1, 아오야마 퍼스트 빌딩 "
140,034120,SBS,106002,텔레비전 방송업,"18,252,582","91,262,910,000","5,000",원(KRW),02-2061-0006,서울특별시 양천구  목동서로 161 
141,101060,SBS미디어홀딩스,116409,기타 금융업,"139,896,190","69,948,095,000",500,원(KRW),02-2113-5599,서울특별시 양천구  목동서로 161 
142,046140,SBS콘텐츠허브,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,463,555","10,731,777,500",500,원(KRW),02-2001-0631,"서울특별시 마포구 상암산로 82 SBS프리즘타워 15, 16층 "
143,036120,SCI평가정보,147509,기타 사업지원 서비스업,"35,500,000","17,750,000,000",500,원(KRW),02  -3445-5000,서울특별시 마포구  토정로 144 건양사빌딩 
144,099220,SDN,074605,기계장비 및 관련 물품 도매업,"41,731,440","20,865,720,000",500,원(KRW),02-446-6691,경기도 성남시 분당구 대왕판교로644번길 21메디포스트 3층  
145,036540,SFA반도체,032601,반도체 제조업,"141,121,631","70,818,115,500",500,원(KRW),041 -529 -0708,충청남도 천안시 서북구  백석공단7로 16 STS반도체통신(주) 
146,255220,SG,032309,기타 비금속 광물제품 제조업,"12,506,024","1,250,602,400",100,원(KRW),032-574-6525,"인천광역시 서구 봉수대로300번길 15, 300번길 9 &nbsp"
147,040610,SG&G,033003,자동차 신품 부품 제조업,"34,087,196","17,043,598,000",500,원(KRW),02-2105-6315,경기도 성남시 분당구 대왕판교로606번길 47 SG타워 7층
148,049470,SGA,105802,소프트웨어 개발 및 공급업,"96,724,499","48,362,249,500",500,원(KRW),070-7308-9319,"서울특별시 송파구 법원로11길 25 에이동 801호(문정동, 에이치비지니스파크) "
149,184230,SGA솔루션즈,105802,소프트웨어 개발 및 공급업,"33,905,098","3,390,509,800",100,원(KRW),02-574-6856,"서울특별시 송파구 법원로11길 25 에이동 901호(문정동, 에이치비지니스파크) "
150,224880,SGA임베디드,105802,소프트웨어 개발 및 공급업,"4,418,165","2,209,082,500",500,원(KRW),070-7410-9319,"서울특별시 송파구 법원로11길 25에이동 908호(문정동, 에이치비지니스파크) "
151,004060,SG세계물산,074608,상품 종합 도매업,"202,424,960","101,212,480,000",500,원(KRW),02-850-5191,서울특별시 금천구  디지털로10길 35 
152,001380,SG충방,033003,자동차 신품 부품 제조업,"44,964,143","22,482,071,500",500,원(KRW),070-5038-5498,충청남도 예산군 예산읍 창말로 75 (주)SG충방
153,002360,SH에너지화학,032001,기초 화학물질 제조업,"111,133,730","55,566,865,000",500,원(KRW),063-469-1500,전라북도 군산시 외항7길 20 
154,009160,SIMPAC,032902,특수 목적용 기계 제조업,"65,429,516","32,714,758,000",500,원(KRW),032-510-0044,인천광역시 부평구  부평북로 141 (주)SIMPAC
155,034730,SK,116409,기타 금융업,"70,360,297","15,385,286,400",200,원(KRW),02-2121-5114,서울특별시 종로구 종로 26 SK주식회사
156,232330,SK3호스팩,116601,금융 지원 서비스업,"3,600,000","360,000,000",100,원(KRW),02-3773-8373,"서울특별시 영등포구 국제금융로8길 31 여의도동, 에스케이증권빌딩"
157,307070,SK4호스팩,116601,금융 지원 서비스업,"5,160,000","516,000,000",100,원(KRW),02-3773-9151,서울특별시 영등포구 국제금융로8길 31 4층 &nbsp
158,011790,SKC,032004,기타 화학제품 제조업,"37,534,555","187,672,775,000","5,000",원(KRW),031-250-7114,경기도 수원시 장안구 장안로309번길 84 (정자동) 
159,057500,SKC 솔믹스,032602,전자부품 제조업,"61,494,040","30,747,020,000",500,원(KRW),(031)660-8400,경기도 평택시  경기대로 1043 
160,178920,SKC코오롱PI,032202,플라스틱제품 제조업,"29,366,322","14,683,161,000",500,원(KRW),031-436-8600,충청북도 진천군 이월면 고등1길 27 
161,018670,SK가스,074607,기타 전문 도매업,"9,054,167","45,270,835,000","5,000",원(KRW),02-6200-8114,경기도 성남시 분당구 판교로 332 ECO Hub
162,001740,SK네트웍스,074607,기타 전문 도매업,"248,187,647","620,753,237,500","2,500",원(KRW),070-7800-2114,서울특별시 중구  남대문로 90 5-3 SK네트웍스
